"","x","y"
"1",4021.97802197802,1.89770354906054
"2",3731.86813186813,1.90083507306889
"3",3723.07692307692,2.01670146137787
"4",3701.0989010989,1.89770354906054
"5",3626.37362637363,1.89770354906054
"6",3608.79120879121,1.95407098121086
"7",3600,1.90396659707724
"8",2527.47252747253,1.90396659707724
"9",2391.20879120879,1.9384133611691
"10",2351.64835164835,3.24425887265136
"11",2320.87912087912,1.9321503131524
"12",2298.9010989011,1.90709812108559
"13",2285.71428571429,2.03862212943632
"14",2276.92307692308,1.90396659707724
"15",1450.54945054945,1.90083507306889
"16",1147.25274725275,1.90396659707724
"17",716.483516483516,1.90396659707724
"18",694.505494505494,1.919624217119
"19",659.34065934066,2.70876826722338
"20",632.967032967033,1.90396659707724
"21",140.659340659341,1.90396659707724
"22",123.076923076923,2.05741127348643
"23",114.285714285714,1.90709812108559
"24",83.5164835164833,1.90709812108559
"25",74.7252747252742,2.01670146137787
"26",57.1428571428569,1.90709812108559
