"","x","y"
"1",0.253164556962025,0.0976714100905563
"2",0.278481012658228,0.124062095730919
"3",0.348101265822785,0.24359637774903
"4",0.378164556962025,0.254463130659767
"5",0.563291139240506,0.472574385510996
"6",0.615506329113924,0.49353169469599
"7",1.40506329113924,0.579689521345408
"8",1.44145569620253,0.58124191461837
"9",1.46044303797468,0.595213454075032
"10",1.83860759493671,0.662742561448901
"11",1.89715189873418,0.653428201811126
"12",1.90822784810127,0.628589909443726
"13",2.07594936708861,0.682147477360932
"14",2.15664556962025,0.690685640362225
"15",2.24208860759494,0.672056921086675
"16",2.30854430379747,0.669728331177232
"17",2.32753164556962,0.680595084087969
"18",2.62658227848101,0.614618369987063
"19",2.65981012658228,0.594437257438551
"20",2.78639240506329,0.228072445019405
"21",2.82120253164557,0.226520051746442
"22",2.84810126582279,0.216429495472186
"23",2.88132911392405,0.228072445019405
"24",2.91613924050633,0.214877102199224
"25",2.97310126582278,0.207891332470893
"44",4.13934426229507,0.515611814345991
"51",5.61475409836063,0.0430379746835445
"61",7.70491803278687,0.0101265822784812
"71",8.68852459016392,0.224472573839663
"81",10.4098360655738,0.153586497890296
"91",10.5327868852459,0.0860759493670888
"101",12.3770491803278,0.0354430379746837
"111",12.9918032786885,0.0573839662447259
"121",15.2049180327869,0.0362869198312238
"131",19.3852459016393,0.0759493670886078
"141",20,0.119831223628692
"151",23.811475409836,0.135021097046414
"161",24.7950819672131,0.087763713080169
"171",25.9016393442623,0.0945147679324896
"181",27.0081967213115,0.140928270042194
"191",29.344262295082,0.0725738396624475
"201",30.327868852459,0.0995780590717301
"211",37.7049180327869,0.0767932489451478
"221",42.7459016393442,0.09873417721519
"231",55.4098360655738,0.115611814345992
"241",64.7540983606557,0.0945147679324896
"251",66.5983606557377,0.137552742616034
"26",68.1967213114754,0.104641350210971
"27",82.7049180327869,0.10210970464135
"28",85.2868852459017,0.129113924050633
"29",93.4016393442623,0.119831223628692
"30",99.5491803278689,0.159493670886076
"31",107.172131147541,0.159493670886076
"32",112.827868852459,0.145147679324895
"33",133.606557377049,0.166244725738397
"34",136.680327868852,0.150210970464135
"35",140.245901639344,0.153586497890296
"36",148.237704918033,0.232067510548523
"37",152.418032786885,0.187341772151899
"38",167.909836065574,0.230379746835443
"39",172.950819672131,0.220253164556962
"40",185.368852459016,0.222784810126582
"41",199.385245901639,0.266666666666667
"42",207.254098360656,0.269198312236287
"43",215.983606557377,0.216877637130802
