T,p,rho,V,E,H,S,Cv,Cp,u,JT,nu,k,phase,compound
Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Compound
273.16,0,0,infinite,2375.4,2501.5,26.617,1.3975,1.859,409.51,undefined,9.2179,0.017045,vapor,water
300,0,0,infinite,2413,2551.4,26.749,1.4033,1.8648,428.94,222.29,9.9262,0.018571,liquid,water
300,0,0,infinite,2413,2551.4,26.749,1.4033,1.8648,428.94,222.29,9.9262,0.018571,vapor,water
323.16,0,0,infinite,2445.5,2594.7,26.853,1.4098,1.8713,444.94,undefined,10.634,0.020102,vapor,water
373.16,0,0,infinite,2516.5,2688.7,27.057,1.4283,1.8898,477.36,undefined,12.353,0.023895,vapor,water
423.16,0,0,infinite,2588.5,2783.8,27.238,1.4517,1.9132,507.33,undefined,14.233,0.028194,vapor,water
473.16,0,0,infinite,2661.7,2880.1,27.402,1.4785,1.94,535.29,undefined,16.209,0.032894,vapor,water
523.16,0,0,infinite,2736.3,2977.8,27.552,1.5075,1.969,561.57,undefined,18.24,0.037931,vapor,water
573.16,0,0,infinite,2812.5,3077,27.691,1.538,1.9995,586.43,undefined,20.303,0.04326,vapor,water
623.16,0,0,infinite,2890.2,3177.8,27.821,1.5696,2.0311,610.05,undefined,22.378,0.048849,vapor,water
673.16,0,0,infinite,2969.4,3280.1,27.943,1.602,2.0635,632.59,undefined,24.454,0.054669,vapor,water
723.16,0,0,infinite,3050.4,3384.1,28.059,1.6353,2.0968,654.17,undefined,26.522,0.060696,vapor,water
773.16,0,0,infinite,3133,3489.8,28.169,1.6693,2.1308,674.89,undefined,28.574,0.066912,vapor,water
823.16,0,0,infinite,3217.3,3597.2,28.275,1.704,2.1655,694.84,undefined,30.606,0.073297,vapor,water
873.16,0,0,infinite,3303.4,3706.4,28.377,1.7391,2.2006,714.09,undefined,32.614,0.079838,vapor,water
923.16,0,0,infinite,3391.2,3817.3,28.474,1.7745,2.236,732.71,undefined,34.596,0.086519,vapor,water
973.16,0,0,infinite,3480.8,3930,28.569,1.8101,2.2716,750.76,undefined,36.551,0.093328,vapor,water
1023.2,0,0,infinite,3572.2,4044.4,28.661,1.8456,2.3071,768.3,undefined,38.476,0.10025,vapor,water
1073.2,0,0,infinite,3665.4,4160.7,28.749,1.8808,2.3423,785.38,undefined,40.373,0.10729,vapor,water
1123.2,0,0,infinite,3760.3,4278.7,28.836,1.9156,2.3772,802.02,undefined,42.239,0.11442,vapor,water
1173.2,0,0,infinite,3857,4398.4,28.92,1.9499,2.4114,818.28,undefined,44.076,0.12164,vapor,water
1223.2,0,0,infinite,3955.3,4519.8,29.002,1.9834,2.4449,834.19,undefined,45.884,0.12894,vapor,water
1273.2,0,0,infinite,4055.3,4642.9,29.082,2.0161,2.4776,849.76,undefined,47.662,0.13631,vapor,water
273.16,0.03,999.81,0.0010002,0.00054549,0.030551,1.9961e-06,4.2173,4.2198,1402.3,-0.24142,1791.1,0.56105,liquid,water
323.16,0.03,988,0.0010121,209.37,209.4,0.70393,4.0263,4.1815,1542.5,-0.20624,546.74,0.64357,liquid,water
342.25,0.03,978.25,0.0010222,289.24,289.27,0.94407,3.9299,4.1897,1554.4,-0.19567,408.94,0.66238,liquid,water
342.25,0.03,0.19126,5.2284,2467.7,2624.5,7.7675,1.4923,1.9841,455.03,104.63,11.231,0.021986,vapor,water
373.16,0.03,0.17497,5.7153,2513.5,2685,7.9366,1.4613,1.939,475.92,64.868,12.328,0.024241,vapor,water
423.16,0.03,0.15399,6.4938,2586.8,2781.7,8.1797,1.4644,1.9337,506.56,36.517,14.218,0.02839,vapor,water
473.16,0.03,0.13759,7.2679,2660.7,2878.7,8.3964,1.4844,1.9504,534.82,23.485,16.199,0.033011,vapor,water
523.16,0.03,0.12438,8.04,2735.6,2976.8,8.5935,1.5107,1.975,561.25,16.453,18.234,0.038004,vapor,water
573.16,0.03,0.11349,8.8111,2811.9,3076.3,8.7751,1.5399,2.0034,586.2,12.195,20.299,0.04331,vapor,water
623.16,0.03,0.10437,9.5817,2889.7,3177.2,8.9439,1.5708,2.0337,609.88,9.4003,22.376,0.048885,vapor,water
673.16,0.03,0.096601,10.352,2969.1,3279.7,9.102,1.6029,2.0654,632.47,7.4555,24.453,0.054697,vapor,water
723.16,0.03,0.089914,11.122,3050.1,3383.7,9.2512,1.6359,2.0982,654.08,6.0426,26.522,0.06072,vapor,water
773.16,0.03,0.084093,11.892,3132.8,3489.5,9.3925,1.6698,2.1319,674.82,4.9816,28.574,0.066932,vapor,water
823.16,0.03,0.078981,12.661,3217.1,3597,9.5272,1.7043,2.1663,694.78,4.1636,30.607,0.073316,vapor,water
873.16,0.03,0.074456,13.431,3303.2,3706.1,9.656,1.7394,2.2013,714.04,3.5193,32.615,0.079856,vapor,water
923.16,0.03,0.070421,14.2,3391.1,3817.1,9.7795,1.7747,2.2366,732.67,3.0029,34.598,0.086536,vapor,water
973.16,0.03,0.066801,14.97,3480.7,3929.8,9.8984,1.8103,2.2721,750.74,2.5828,36.552,0.093345,vapor,water
1023.2,0.03,0.063536,15.739,3572.1,4044.3,10.013,1.8457,2.3075,768.28,2.2365,38.478,0.10027,vapor,water
1073.2,0.03,0.060575,16.509,3665.3,4160.6,10.124,1.881,2.3427,785.36,1.9479,40.374,0.1073,vapor,water
1123.2,0.03,0.057877,17.278,3760.2,4278.6,10.232,1.9157,2.3774,802.02,1.705,42.24,0.11443,vapor,water
1173.2,0.03,0.05541,18.047,3856.9,4398.3,10.336,1.95,2.4116,818.28,1.4989,44.077,0.12165,vapor,water
1223.2,0.03,0.053145,18.817,3955.2,4519.7,10.437,1.9835,2.4451,834.19,1.3224,45.885,0.12895,vapor,water
1273.2,0.03,0.051057,19.586,4055.2,4642.8,10.536,2.0162,2.4778,849.76,1.1704,47.663,0.13632,vapor,water
273.16,0.1,999.84,0.0010002,0.0018429,0.10186,6.7371e-06,4.217,4.2194,1402.4,-0.24141,1790.9,0.56109,liquid,water
323.16,0.1,988.03,0.0010121,209.36,209.46,0.7039,4.0261,4.1813,1542.6,-0.20624,546.76,0.64361,liquid,water
372.76,0.1,958.63,0.0010432,417.4,417.5,1.3028,3.7702,4.2152,1543.5,-0.17843,282.91,0.67897,liquid,water
372.76,0.1,0.59034,1.6939,2505.6,2674.9,7.3588,1.5548,2.0784,471.99,67.038,12.256,0.025053,vapor,water
373.16,0.1,0.58965,1.6959,2506.2,2675.8,7.3611,1.5535,2.0766,472.28,66.627,12.271,0.02508,vapor,water
423.16,0.1,0.51634,1.9367,2583,2776.6,7.6148,1.4959,1.9846,504.74,36.858,14.183,0.028857,vapor,water
473.16,0.1,0.4603,2.1725,2658.2,2875.5,7.8356,1.4988,1.9754,533.7,23.596,16.177,0.033285,vapor,water
523.16,0.1,0.41559,2.4062,2733.9,2974.5,8.0346,1.5184,1.9893,560.5,16.487,18.22,0.038175,vapor,water
573.16,0.1,0.37895,2.6389,2810.7,3074.6,8.2172,1.5445,2.0124,585.67,12.206,20.291,0.043424,vapor,water
623.16,0.1,0.34831,2.871,2888.7,3175.8,8.3866,1.5738,2.0399,609.49,9.4032,22.371,0.048968,vapor,water
673.16,0.1,0.3223,3.1027,2968.3,3278.6,8.5452,1.6049,2.0699,632.17,7.4559,24.451,0.054762,vapor,water
723.16,0.1,0.29992,3.3342,3049.4,3382.9,8.6946,1.6374,2.1015,653.85,6.0422,26.521,0.060774,vapor,water
773.16,0.1,0.28046,3.5656,3132.2,3488.8,8.8362,1.6709,2.1344,674.64,4.9809,28.575,0.06698,vapor,water
823.16,0.1,0.26338,3.7968,3216.6,3596.3,8.971,1.7051,2.1683,694.64,4.1629,30.608,0.07336,vapor,water
873.16,0.1,0.24827,4.0279,3302.8,3705.6,9.0998,1.74,2.2029,713.94,3.5188,32.617,0.079897,vapor,water
923.16,0.1,0.2348,4.259,3390.7,3816.6,9.2235,1.7753,2.2379,732.59,3.0025,34.6,0.086576,vapor,water
973.16,0.1,0.22272,4.49,3480.4,3929.4,9.3424,1.8107,2.2732,750.68,2.5824,36.555,0.093383,vapor,water
1023.2,0.1,0.21182,4.721,3571.8,4043.9,9.4572,1.8461,2.3084,768.24,2.2362,38.481,0.10031,vapor,water
1073.2,0.1,0.20194,4.9519,3665,4160.2,9.5682,1.8812,2.3434,785.33,1.9476,40.377,0.10734,vapor,water
1123.2,0.1,0.19294,5.1829,3760,4278.3,9.6757,1.916,2.3781,802,1.7048,42.243,0.11446,vapor,water
1173.2,0.1,0.18471,5.4137,3856.7,4398,9.78,1.9502,2.4122,818.27,1.4987,44.08,0.12167,vapor,water
1223.2,0.1,0.17716,5.6446,3955,4519.5,9.8814,1.9837,2.4456,834.18,1.3222,45.887,0.12897,vapor,water
1273.2,0.1,0.1702,5.8755,4055,4642.6,9.98,2.0163,2.4782,849.77,1.1702,47.666,0.13633,vapor,water
273.16,0.3,999.94,0.0010001,0.0055347,0.30555,2.0178e-05,4.216,4.2184,1402.8,-0.2414,1790.4,0.5612,liquid,water
323.16,0.3,988.12,0.001012,209.33,209.63,0.7038,4.0256,4.1809,1542.9,-0.20625,546.79,0.6437,liquid,water
373.16,0.3,958.44,0.0010434,419.04,419.36,1.3072,3.7678,4.2152,1543.6,-0.17822,281.77,0.6792,liquid,water
406.67,0.3,931.82,0.0010732,561.1,561.43,1.6717,3.6001,4.2686,1498.2,-0.15614,206.85,0.68366,liquid,water
406.67,0.3,1.6508,0.60576,2543.2,2724.9,6.9916,1.6711,2.263,487.37,45.919,13.423,0.02924,vapor,water
423.16,0.3,1.5772,0.63403,2571,2761.2,7.0792,1.6026,2.1589,499.15,37.675,14.083,0.03026,vapor,water
473.16,0.3,1.3958,0.71644,2651,2865.9,7.3132,1.5436,2.0537,530.4,23.861,16.115,0.034092,vapor,water
523.16,0.3,1.2556,0.79646,2728.9,2967.9,7.5181,1.5415,2.0324,558.31,16.576,18.181,0.038673,vapor,water
573.16,0.3,1.1424,0.87536,2807,3069.6,7.7037,1.558,2.0391,584.11,12.234,20.267,0.043755,vapor,water
623.16,0.3,1.0486,0.95365,2885.9,3172,7.875,1.5824,2.0578,608.35,9.4105,22.358,0.049207,vapor,water
673.16,0.3,0.96941,1.0316,2966,3275.5,8.0347,1.6108,2.0826,631.31,7.4565,24.445,0.054949,vapor,water
723.16,0.3,0.90153,1.1092,3047.5,3380.3,8.185,1.6416,2.111,653.19,6.0407,26.52,0.06093,vapor,water
773.16,0.3,0.84265,1.1867,3130.6,3486.6,8.3271,1.674,2.1417,674.13,4.979,28.577,0.067118,vapor,water
823.16,0.3,0.79107,1.2641,3215.3,3594.5,8.4623,1.7075,2.174,694.25,4.1611,30.613,0.073487,vapor,water
873.16,0.3,0.74549,1.3414,3301.6,3704,8.5915,1.7419,2.2075,713.64,3.5172,32.624,0.080017,vapor,water
923.16,0.3,0.70491,1.4186,3389.7,3815.3,8.7153,1.7768,2.2416,732.36,3.0011,34.608,0.086691,vapor,water
973.16,0.3,0.66854,1.4958,3479.5,3928.2,8.8345,1.8119,2.2762,750.5,2.5812,36.563,0.093492,vapor,water
1023.2,0.3,0.63575,1.5729,3571,4042.9,8.9494,1.8471,2.311,768.11,2.2352,38.489,0.10041,vapor,water
1073.2,0.3,0.60604,1.65,3664.3,4159.3,9.0605,1.8821,2.3457,785.24,1.9468,40.385,0.10743,vapor,water
1123.2,0.3,0.579,1.7271,3759.3,4277.5,9.1681,1.9167,2.38,801.94,1.7041,42.251,0.11455,vapor,water
1173.2,0.3,0.55427,1.8042,3856.1,4397.3,9.2724,1.9508,2.4138,818.24,1.4981,44.088,0.12175,vapor,water
1223.2,0.3,0.53157,1.8812,3954.5,4518.8,9.3739,1.9842,2.4471,834.17,1.3218,45.895,0.12903,vapor,water
1273.2,0.3,0.51066,1.9582,4054.5,4642,9.4726,2.0168,2.4795,849.78,1.1698,47.672,0.13638,vapor,water
273.16,1,1000.3,0.0009997,0.018283,1.018,6.6001e-05,4.2127,4.215,1403.9,-0.24133,1788.7,0.56159,liquid,water
323.16,1,988.42,0.0010117,209.22,210.24,0.70348,4.0238,4.1793,1544.2,-0.20627,546.91,0.64402,liquid,water
373.16,1,958.76,0.001043,418.84,419.88,1.3066,3.7667,4.2136,1545.1,-0.17834,281.95,0.67959,liquid,water
423.16,1,917.3,0.0010902,631.46,632.55,1.8413,3.5227,4.3054,1467.2,-0.14341,182.58,0.68239,liquid,water
453.03,1,887.13,0.0011272,761.39,762.52,2.1381,3.3954,4.4045,1392,-0.11435,150.24,0.67337,liquid,water
453.03,1,5.145,0.19436,2582.7,2777.1,6.585,1.9271,2.7114,501.02,29.473,15.021,0.036427,vapor,water
473.16,1,4.8537,0.20603,2622.3,2828.3,6.6956,1.7519,2.428,517.39,24.342,15.894,0.037212,vapor,water
523.16,1,4.2964,0.23275,2710.4,2943.1,6.9265,1.6354,2.2106,550.15,16.771,18.046,0.040516,vapor,water
573.16,1,3.8761,0.25799,2793.7,3051.7,7.1247,1.6096,2.1425,578.49,12.301,20.185,0.044958,vapor,water
623.16,1,3.5397,0.28251,2875.7,3158.2,7.3029,1.6143,2.1248,604.27,9.4271,22.313,0.050068,vapor,water
673.16,1,3.2615,0.30661,2957.9,3264.5,7.467,1.6321,2.1293,628.26,7.4553,24.424,0.055619,vapor,water
723.16,1,3.0262,0.33045,3040.9,3371.3,7.62,1.6566,2.1452,650.87,6.0343,26.517,0.061488,vapor,water
773.16,1,2.8239,0.35412,3125,3479.1,7.7642,1.6851,2.1677,672.35,4.9717,28.586,0.067609,vapor,water
823.16,1,2.6479,0.37766,3210.5,3588.2,7.9008,1.7159,2.1943,692.87,4.1543,30.631,0.073938,vapor,water
873.16,1,2.4931,0.40111,3297.5,3698.6,8.0311,1.7484,2.2237,712.58,3.5113,32.647,0.080444,vapor,water
923.16,1,2.3557,0.4245,3386.1,3810.6,8.1557,1.782,2.2548,731.55,2.9962,34.634,0.0871,vapor,water
973.16,1,2.233,0.44783,3476.3,3924.1,8.2755,1.8161,2.2872,749.9,2.5771,36.592,0.093884,vapor,water
1023.2,1,2.1226,0.47113,3568.2,4039.3,8.3909,1.8506,2.3201,767.67,2.2318,38.519,0.10078,vapor,water
1073.2,1,2.0227,0.49439,3661.7,4156.1,8.5024,1.885,2.3534,784.93,1.944,40.415,0.10777,vapor,water
1123.2,1,1.9319,0.51762,3757,4274.6,8.6103,1.9192,2.3866,801.74,1.7017,42.28,0.11486,vapor,water
1173.2,1,1.849,0.54084,3853.9,4394.8,8.715,1.9529,2.4196,818.13,1.496,44.115,0.12202,vapor,water
1223.2,1,1.7729,0.56403,3952.5,4516.6,8.8166,1.986,2.452,834.15,1.32,45.921,0.12925,vapor,water
1273.2,1,1.703,0.58721,4052.8,4640,8.9155,2.0184,2.4839,849.82,1.1683,47.696,0.13656,vapor,water
273.16,3,1001.3,0.00099869,0.053232,3.0493,0.00018655,4.2035,4.2052,1407.1,-0.24116,1783.7,0.56269,liquid,water
323.16,3,989.29,0.0010108,208.93,211.96,0.70256,4.0188,4.1747,1547.8,-0.20634,547.26,0.64495,liquid,water
373.16,3,959.7,0.001042,418.26,421.39,1.3051,3.7637,4.2091,1549.4,-0.17867,282.49,0.68068,liquid,water
423.16,3,918.43,0.0010888,630.52,633.78,1.8391,3.5208,4.299,1472.7,-0.14422,183.09,0.68375,liquid,water
473.16,3,865.74,0.0011551,849.44,852.9,2.3283,3.317,4.4875,1337.3,-0.090786,134.67,0.66457,liquid,water
507,3,821.9,0.0012167,1004.7,1008.3,2.6455,3.2035,4.7186,1213.1,-0.031758,113.94,0.6378,liquid,water
507,3,15.001,0.066664,2603.2,2803.2,6.1856,2.3282,3.6119,504.03,18.338,16.903,0.047263,vapor,water
523.16,3,14.158,0.070629,2644.7,2856.6,6.2893,2.0555,3.0828,521.36,16.544,17.672,0.046998,vapor,water
573.16,3,12.318,0.081181,2750.8,2994.4,6.5412,1.7985,2.5414,560.48,12.263,19.974,0.048873,vapor,water
623.16,3,11.043,0.090558,2844.4,3116.1,6.745,1.7202,2.3558,591.78,9.4008,22.203,0.052782,vapor,water
673.16,3,10.062,0.099381,2933.6,3231.7,6.9235,1.6989,2.2801,619.16,7.4249,24.383,0.057695,vapor,water
723.16,3,9.2688,0.10789,3021.2,3344.9,7.0856,1.7022,2.2514,644.05,6.0044,26.522,0.063198,vapor,water
773.16,3,8.6061,0.1162,3108.6,3457.2,7.2359,1.7179,2.2464,667.16,4.9452,28.625,0.069103,vapor,water
823.16,3,8.0405,0.12437,3196.6,3569.7,7.3769,1.7406,2.2548,688.9,4.1319,30.691,0.075306,vapor,water
873.16,3,7.5502,0.13245,3285.5,3682.9,7.5103,1.7675,2.2715,709.53,3.4928,32.722,0.081736,vapor,water
923.16,3,7.1198,0.14045,3375.6,3797,7.6374,1.7971,2.2934,729.24,2.9809,34.719,0.088337,vapor,water
973.16,3,6.7382,0.14841,3467,3912.3,7.759,1.8283,2.3189,748.16,2.5645,36.681,0.095068,vapor,water
1023.2,3,6.3972,0.15632,3559.9,4028.9,7.8759,1.8606,2.3466,766.4,2.2213,38.61,0.1019,vapor,water
1073.2,3,6.0902,0.1642,3654.4,4146.9,7.9885,1.8934,2.3758,784.06,1.9353,40.505,0.10882,vapor,water
1123.2,3,5.8123,0.17205,3750.3,4266.5,8.0974,1.9262,2.4058,801.18,1.6944,42.368,0.1158,vapor,water
1173.2,3,5.5593,0.17988,3847.9,4387.5,8.2028,1.9589,2.4361,817.84,1.4899,44.199,0.12285,vapor,water
1223.2,3,5.3279,0.18769,3947,4510.1,8.3051,1.9912,2.4664,834.08,1.3148,45.999,0.12996,vapor,water
1273.2,3,5.1153,0.19549,4047.7,4634.2,8.4045,2.0229,2.4965,849.94,1.1638,47.769,0.13711,vapor,water
273.16,10,1004.8,0.0009952,0.15883,10.111,0.00049033,4.1721,4.1726,1418.4,-0.24051,1767.3,0.56656,liquid,water
323.16,10,992.3,0.0010078,207.9,217.98,0.69933,4.0013,4.1592,1560.3,-0.20654,548.53,0.64821,liquid,water
373.16,10,962.93,0.0010385,416.27,426.66,1.2997,3.7531,4.1935,1564.1,-0.1798,284.36,0.6845,liquid,water
423.16,10,922.31,0.0010842,627.31,638.15,1.8314,3.5143,4.2773,1491.2,-0.14692,184.84,0.68845,liquid,water
473.16,10,870.92,0.0011482,844.36,855.84,2.3175,3.3125,4.4492,1362.1,-0.097046,136.4,0.67061,liquid,water
523.16,10,805.69,0.0012412,1073.4,1085.8,2.7793,3.1521,4.7935,1179.7,-0.0081141,107.77,0.62875,liquid,water
573.16,10,715.26,0.0013981,1329.4,1343.4,3.2489,3.0493,5.681,922.64,0.20104,86.456,0.55065,liquid,water
584.15,10,688.42,0.0014526,1393.5,1408.1,3.3606,3.0438,6.1237,847.33,0.2954,81.795,0.52683,liquid,water
584.15,10,55.463,0.01803,2545.2,2725.5,5.616,3.1065,7.1408,472.51,9.9124,20.267,0.076543,vapor,water
623.16,10,44.562,0.022441,2699.7,2924.1,5.946,2.307,4.0114,534.45,8.6301,22.151,0.068089,vapor,water
673.16,10,37.826,0.026437,2833.1,3097.5,6.2141,2.0084,3.0952,582.01,7.0417,24.487,0.067882,vapor,water
723.16,10,33.577,0.029782,2944.5,3242.4,6.4219,1.8927,2.7472,617.89,5.775,26.735,0.07099,vapor,water
773.16,10,30.477,0.032811,3047,3375.2,6.5995,1.8467,2.583,647.99,4.7897,28.912,0.075609,vapor,water
823.16,10,28.047,0.035655,3145.4,3502,6.7585,1.8333,2.4994,674.58,4.0185,31.027,0.081107,vapor,water
873.16,10,26.056,0.038379,3242,3625.8,6.9045,1.8373,2.4576,698.76,3.4064,33.09,0.08714,vapor,water
923.16,10,24.379,0.041019,3338,3748.1,7.0408,1.8514,2.4399,721.17,2.9133,35.103,0.093479,vapor,water
973.16,10,22.937,0.043598,3434,3870,7.1693,1.8717,2.437,742.21,2.5105,37.072,0.099979,vapor,water
1023.2,10,21.677,0.046131,3530.7,3992,7.2916,1.896,2.4439,762.13,2.1775,38.998,0.10656,vapor,water
1073.2,10,20.564,0.048629,3628.2,4114.5,7.4085,1.9227,2.4571,781.14,1.8992,40.884,0.11317,vapor,water
1123.2,10,19.57,0.0511,3726.8,4237.8,7.5208,1.9509,2.4747,799.38,1.6644,42.733,0.1198,vapor,water
1173.2,10,18.675,0.053547,3826.6,4362,7.629,1.98,2.4952,816.97,1.4646,44.547,0.12644,vapor,water
1223.2,10,17.865,0.055977,3927.6,4487.3,7.7336,2.0094,2.5175,833.98,1.2934,46.326,0.13308,vapor,water
1273.2,10,17.126,0.058391,4029.9,4613.8,7.8349,2.0387,2.5411,850.49,1.1456,48.072,0.13972,vapor,water
63.151,0,0,infinite,46.567,65.31,18.403,0.74207,1.0389,161.99,undefined,4.3627,0.0062973,vapor,nitrogen
113.15,0,0,infinite,83.672,117.26,18.836,0.74213,1.0389,216.83,undefined,7.7783,0.011228,vapor,nitrogen
163.15,0,0,infinite,120.78,169.2,19.108,0.74219,1.039,260.36,undefined,10.837,0.015643,vapor,nitrogen
213.15,0,0,infinite,157.89,221.16,19.306,0.74228,1.0391,297.59,undefined,13.603,0.019638,vapor,nitrogen
263.15,0,0,infinite,195.01,273.11,19.463,0.74248,1.0393,330.64,undefined,16.137,0.0233,vapor,nitrogen
300,0,0,infinite,222.38,311.42,19.56,0.74292,1.0397,353.01,2.127,17.882,0.025828,liquid,nitrogen
300,0,0,infinite,222.38,311.42,19.56,0.74292,1.0397,353.01,2.127,17.882,0.025828,vapor,nitrogen
313.15,0,0,infinite,232.15,325.09,19.592,0.74318,1.04,360.64,undefined,18.482,0.026701,vapor,nitrogen
363.15,0,0,infinite,269.35,377.13,19.702,0.74497,1.0418,388.24,undefined,20.674,0.029908,vapor,nitrogen
413.15,0,0,infinite,306.67,429.3,19.798,0.74842,1.0452,413.83,undefined,22.736,0.032979,vapor,nitrogen
463.15,0,0,infinite,344.22,481.69,19.884,0.75385,1.0507,437.71,undefined,24.69,0.035961,vapor,nitrogen
513.15,0,0,infinite,382.09,534.4,19.962,0.76126,1.0581,460.09,undefined,26.55,0.038889,vapor,nitrogen
563.15,0,0,infinite,420.37,587.52,20.033,0.77039,1.0672,481.19,undefined,28.329,0.041783,vapor,nitrogen
613.15,0,0,infinite,459.15,641.14,20.099,0.78087,1.0777,501.16,undefined,30.037,0.044654,vapor,nitrogen
663.15,0,0,infinite,498.48,695.3,20.161,0.79228,1.0891,520.15,undefined,31.684,0.047504,vapor,nitrogen
713.15,0,0,infinite,538.39,750.05,20.219,0.80422,1.101,538.31,undefined,33.275,0.050332,vapor,nitrogen
763.15,0,0,infinite,578.9,805.41,20.273,0.81638,1.1132,555.75,undefined,34.818,0.053136,vapor,nitrogen
813.15,0,0,infinite,620.02,861.37,20.326,0.82847,1.1253,572.55,undefined,36.316,0.055912,vapor,nitrogen
863.15,0,0,infinite,661.75,917.93,20.375,0.84032,1.1371,588.79,undefined,37.775,0.058655,vapor,nitrogen
913.15,0,0,infinite,704.05,975.08,20.423,0.85177,1.1486,604.54,undefined,39.197,0.061364,vapor,nitrogen
963.15,0,0,infinite,746.92,1032.8,20.469,0.86275,1.1595,619.85,undefined,40.587,0.064036,vapor,nitrogen
1013.2,0,0,infinite,790.32,1091,20.513,0.87318,1.17,634.76,undefined,41.948,0.06667,vapor,nitrogen
1063.2,0,0,infinite,834.22,1149.8,20.555,0.88305,1.1799,649.31,undefined,43.281,0.069264,vapor,nitrogen
1113.2,0,0,infinite,878.61,1209,20.596,0.89235,1.1892,663.53,undefined,44.589,0.071819,vapor,nitrogen
1163.2,0,0,infinite,923.45,1268.7,20.635,0.90109,1.1979,677.45,undefined,45.874,0.074335,vapor,nitrogen
1213.2,0,0,infinite,968.71,1328.8,20.673,0.90928,1.2061,691.09,undefined,47.138,0.076813,vapor,nitrogen
1263.2,0,0,infinite,1014.4,1389.3,20.71,0.91695,1.2138,704.46,undefined,48.383,0.079254,vapor,nitrogen
1313.2,0,0,infinite,1060.4,1450.1,20.746,0.92412,1.2209,717.58,undefined,49.609,0.08166,vapor,nitrogen
1363.2,0,0,infinite,1106.8,1511.4,20.781,0.93084,1.2276,730.48,undefined,50.819,0.08403,vapor,nitrogen
1413.2,0,0,infinite,1153.5,1572.9,20.814,0.93711,1.2339,743.15,undefined,52.013,0.086368,vapor,nitrogen
1463.2,0,0,infinite,1200.5,1634.7,20.847,0.94299,1.2398,755.62,undefined,53.192,0.088674,vapor,nitrogen
1513.2,0,0,infinite,1247.8,1696.9,20.879,0.94848,1.2453,767.88,undefined,54.358,0.09095,vapor,nitrogen
1563.2,0,0,infinite,1295.3,1759.3,20.91,0.95363,1.2504,779.97,undefined,55.512,0.093198,vapor,nitrogen
1613.2,0,0,infinite,1343.1,1821.9,20.94,0.95845,1.2553,791.87,undefined,56.653,0.095419,vapor,nitrogen
1663.2,0,0,infinite,1391.2,1884.8,20.969,0.96298,1.2598,803.6,undefined,57.784,0.097614,vapor,nitrogen
1713.2,0,0,infinite,1439.4,1947.9,20.998,0.96723,1.264,815.17,undefined,58.904,0.099784,vapor,nitrogen
1763.2,0,0,infinite,1487.9,2011.2,21.026,0.97122,1.268,826.58,undefined,60.014,0.10193,vapor,nitrogen
1813.2,0,0,infinite,1536.5,2074.7,21.053,0.97498,1.2718,837.84,undefined,61.116,0.10406,vapor,nitrogen
1863.2,0,0,infinite,1585.4,2138.4,21.079,0.97852,1.2753,848.95,undefined,62.208,0.10616,vapor,nitrogen
1913.2,0,0,infinite,1634.4,2202.2,21.105,0.98186,1.2787,859.93,undefined,63.293,0.10825,vapor,nitrogen
1963.2,0,0,infinite,1683.6,2266.2,21.131,0.98502,1.2818,870.77,undefined,64.37,0.11032,vapor,nitrogen
2013.2,0,0,infinite,1732.9,2330.4,21.155,0.988,1.2848,881.48,undefined,65.44,0.11237,vapor,nitrogen
68.334,0.03,845.62,0.0011826,-140.36,-140.33,2.5837,1.1407,2.0103,942.55,-0.38629,237.69,0.16557,liquid,nitrogen
68.334,0.03,1.5061,0.66396,49.693,69.612,5.656,0.75572,1.0747,166.76,34.477,4.7552,0.0066431,vapor,nitrogen
113.15,0.03,0.89692,1.1149,83.41,116.86,6.1882,0.74379,1.0453,216.36,12.734,7.7906,0.011212,vapor,nitrogen
163.15,0.03,0.62035,1.612,120.63,168.99,6.5698,0.74264,1.0412,260.22,6.7079,10.845,0.015652,vapor,nitrogen
213.15,0.03,0.47444,2.1077,157.79,221.03,6.848,0.74247,1.0402,297.56,4.1766,13.61,0.019649,vapor,nitrogen
263.15,0.03,0.38417,2.603,194.94,273.03,7.0672,0.74259,1.0399,330.67,2.7957,16.142,0.023309,vapor,nitrogen
313.15,0.03,0.32278,3.0981,232.09,325.03,7.2481,0.74324,1.0404,360.69,1.9303,18.487,0.02671,vapor,nitrogen
363.15,0.03,0.27832,3.593,269.3,377.09,7.4023,0.74501,1.0421,388.3,1.3392,20.678,0.029915,vapor,nitrogen
413.15,0.03,0.24463,4.0879,306.63,429.27,7.5369,0.74845,1.0455,413.9,0.91136,22.739,0.032985,vapor,nitrogen
463.15,0.03,0.21821,4.5827,344.19,481.67,7.6567,0.75388,1.0508,437.78,0.58909,24.693,0.035967,vapor,nitrogen
513.15,0.03,0.19695,5.0775,382.06,534.38,7.7647,0.76128,1.0582,460.17,0.33952,26.552,0.038895,vapor,nitrogen
563.15,0.03,0.17946,5.5722,420.35,587.52,7.8635,0.77041,1.0673,481.27,0.14238,28.331,0.041789,vapor,nitrogen
