wl,n
0.2000,0.840
0.2100,0.900
0.2200,0.962
0.2300,1.045
0.2400,1.162
0.2500,1.326
0.2600,1.490
0.2700,1.591
0.2800,1.646
0.2900,1.679
0.3000,1.697
0.3100,1.706
0.3200,1.710
0.3300,1.718
0.3400,1.724
0.3500,1.721
0.3600,1.720
0.3700,1.722
0.3800,1.727
0.3900,1.733
0.4000,1.739
0.4100,1.743
0.4200,1.746
0.4300,1.749
0.4400,1.752
0.4500,1.756
0.4600,1.761
0.4700,1.767
0.4800,1.775
0.4900,1.782
0.5000,1.788
0.5100,1.794
0.5200,1.801
0.5300,1.807
0.5400,1.812
0.5500,1.817
0.5600,1.821
0.5700,1.827
0.5800,1.833
0.5900,1.838
0.6000,1.842
0.6100,1.847
0.6200,1.852
0.6300,1.857
0.6400,1.864
0.6500,1.870
0.6600,1.874
0.6700,1.878
0.6800,1.884
0.6900,1.889
0.7000,1.895
0.7100,1.902
0.7210,1.909
0.7300,1.915
0.7400,1.921
0.7500,1.926
0.7600,1.932
0.7700,1.939
0.7800,1.945
0.7900,1.952
0.8000,1.960
0.8100,1.964
0.8200,1.969
0.8300,1.974
0.8400,1.980
0.8500,1.987
0.8600,1.995
0.8700,2.001
0.8800,2.006
0.8900,2.012
0.9000,2.017
0.9100,2.023
0.9200,2.029
0.9300,2.035
0.9400,2.042
0.9500,2.048
0.9600,2.055
0.9700,2.061
0.9800,2.067
0.9900,2.073
1.0000,2.078
1.0100,2.084
1.0200,2.090
1.0300,2.096
1.0400,2.103
1.0500,2.110
1.0600,2.116
1.0700,2.124
1.0800,2.132
1.0900,2.138
1.1000,2.145
1.1100,2.152
1.1200,2.158
1.1300,2.166
1.1400,2.174
1.1500,2.182
1.1600,2.189
1.1700,2.197
1.1800,2.205
1.1900,2.214
1.2000,2.218
1.2100,2.225
1.2200,2.234
1.2300,2.242
1.2400,2.252
1.2500,2.260
1.2600,2.269
1.2700,2.277
1.2800,2.286
1.2900,2.294
1.3000,2.303
1.3100,2.312
1.3200,2.320
1.3300,2.329
1.3400,2.338
1.3500,2.347
1.3600,2.355
1.3700,2.363
1.3800,2.371
1.3900,2.379
1.4000,2.387
1.4100,2.395
1.4200,2.403
1.4300,2.411
1.4400,2.420
1.4500,2.428
1.4600,2.436
1.4700,2.445
1.4800,2.455
1.4900,2.463
1.5000,2.472
1.5100,2.481
1.5200,2.490
1.5300,2.498
1.5400,2.505
1.5500,2.513
1.5600,2.522
1.5700,2.530
1.5800,2.536
1.5900,2.543
1.6000,2.551
1.6100,2.559
1.6200,2.567
1.6300,2.575
1.6400,2.582
1.6500,2.590
1.6600,2.597
1.6700,2.605
1.6800,2.612
1.6900,2.620
1.7000,2.627
1.7100,2.635
1.7200,2.642
1.7300,2.650
1.7400,2.658
1.7500,2.666
1.7600,2.675
1.7700,2.681
1.7800,2.688
1.7900,2.697
1.8000,2.708
1.8100,2.719
1.8200,2.732
1.8300,2.740
1.8400,2.747
1.8500,2.753
1.8600,2.760
1.8700,2.765
1.8800,2.770
1.8900,2.776
1.9000,2.782
1.9100,2.788
1.9200,2.793
1.9300,2.800
1.9400,2.806
1.9500,2.812
1.9600,2.819
1.9700,2.825
1.9800,2.831
1.9900,2.839
2.0000,2.842
2.0100,2.847
2.0200,2.855
2.0300,2.860
2.0400,2.866
2.0500,2.873
2.0600,2.878
2.0700,2.884
2.0800,2.890
2.0900,2.896
2.1000,2.902
2.1100,2.906
2.1200,2.911
2.1300,2.916
2.1400,2.921
2.1500,2.925
2.1600,2.929
2.1700,2.934
2.1800,2.939
2.1900,2.942
2.2000,2.946
2.2100,2.951
2.2200,2.955
2.2300,2.960
2.2400,2.965
2.2500,2.970
2.2600,2.973
2.2700,2.977
2.2800,2.981
2.2900,2.985
2.3000,2.989
2.3100,2.994
2.3200,2.998
2.3300,3.003
2.3400,3.007
2.3500,3.011
2.3600,3.016
2.3700,3.020
2.3800,3.025
2.3900,3.030
2.4000,3.034
2.4100,3.038
2.4200,3.042
2.4300,3.046
2.4400,3.050
2.4500,3.055
2.4600,3.059
2.4700,3.063
2.4800,3.068
2.4900,3.072
2.5000,3.075
2.5063,3.077
2.5126,3.081
2.5189,3.083
2.5253,3.082
2.5316,3.088
2.5381,3.092
2.5445,3.095
2.5510,3.095
2.5575,3.100
2.5641,3.104
2.5707,3.106
2.5773,3.106
2.5840,3.112
2.5907,3.113
2.5974,3.119
2.6042,3.122
2.6110,3.122
2.6178,3.124
2.6247,3.133
2.6316,3.134
2.6385,3.136
2.6455,3.143
2.6525,3.144
2.6596,3.145
2.6667,3.149
2.6738,3.150
2.6810,3.154
2.6882,3.159
2.6954,3.161
2.7027,3.165
2.7100,3.171
2.7174,3.173
2.7248,3.173
2.7322,3.179
2.7397,3.182
2.7473,3.183
2.7548,3.188
2.7624,3.192
2.7701,3.196
2.7778,3.204
2.7855,3.208
2.7933,3.209
2.8011,3.213
2.8090,3.215
2.8169,3.216
2.8249,3.223
2.8329,3.225
2.8409,3.230
2.8490,3.235
2.8571,3.240
2.8653,3.243
2.8736,3.246
2.8818,3.252
2.8902,3.256
2.8986,3.261
2.9070,3.264
2.9155,3.270
2.9240,3.273
2.9326,3.276
2.9412,3.282
2.9499,3.285
2.9586,3.288
2.9674,3.294
2.9762,3.300
2.9851,3.306
2.9940,3.311
3.0030,3.313
3.0120,3.318
3.0211,3.326
3.0303,3.329
3.0395,3.335
3.0488,3.338
3.0581,3.344
3.0675,3.350
3.0769,3.350
3.0864,3.357
3.0960,3.366
3.1056,3.369
3.1153,3.370
3.1250,3.373
3.1348,3.382
3.1447,3.389
3.1546,3.393
3.1646,3.397
3.1746,3.404
3.1847,3.405
3.1949,3.412
3.2051,3.421
3.2154,3.424
3.2258,3.427
3.2362,3.430
3.2468,3.437
3.2573,3.443
3.2680,3.448
3.2787,3.453
3.2895,3.460
3.3003,3.464
3.3113,3.468
3.3223,3.481
3.3333,3.483
3.3445,3.487
3.3557,3.491
3.3670,3.500
3.3784,3.501
3.3898,3.508
3.4014,3.515
3.4130,3.519
3.4247,3.521
3.4364,3.527
3.4483,3.536
3.4602,3.542
3.4722,3.545
3.4843,3.552
3.4965,3.557
3.5088,3.562
3.5211,3.567
3.5336,3.573
3.5461,3.581
3.5587,3.584
3.5714,3.590
3.5842,3.595
3.5971,3.598
3.6101,3.605
3.6232,3.611
3.6364,3.620
3.6496,3.627
3.6630,3.629
3.6765,3.633
3.6900,3.642
3.7037,3.647
3.7175,3.656
3.7313,3.661
3.7453,3.670
3.7594,3.673
3.7736,3.678
3.7879,3.684
3.8023,3.689
3.8168,3.697
3.8314,3.702
3.8462,3.708
3.8610,3.714
3.8760,3.720
3.8911,3.729
3.9063,3.736
3.9216,3.743
3.9370,3.748
3.9526,3.747
3.9683,3.757
3.9841,3.769
4.0000,3.773
4.0161,3.778
4.0323,3.788
4.0486,3.794
4.0650,3.804
4.0816,3.810
4.0984,3.818
4.1152,3.826
4.1322,3.830
4.1494,3.832
4.1667,3.842
4.1841,3.842
4.2017,3.844
4.2194,3.858
4.2373,3.876
4.2553,3.889
4.2735,3.894
4.2918,3.906
4.3103,3.923
4.3290,3.931
4.3478,3.931
4.3668,3.940
4.3860,3.945
4.4053,3.951
4.4248,3.959
4.4444,3.965
4.4643,3.971
4.4843,3.981
4.5045,3.989
4.5249,3.999
4.5455,4.010
4.5662,4.018
4.5872,4.027
4.6083,4.034
4.6296,4.043
4.6512,4.053
4.6729,4.062
4.6948,4.075
4.7170,4.084
4.7393,4.092
4.7619,4.107
4.7847,4.118
4.8077,4.127
4.8309,4.137
4.8544,4.141
4.8780,4.158
4.9020,4.173
4.9261,4.177
4.9505,4.183
4.9751,4.192
5.0000,4.192
5.0251,4.211
5.0505,4.237
5.0761,4.252
5.1020,4.266
5.1282,4.284
5.1546,4.297
5.1813,4.311
5.2083,4.323
5.2356,4.340
5.2632,4.351
5.2910,4.362
5.3191,4.378
5.3476,4.389
5.3763,4.403
5.4054,4.414
5.4348,4.428
5.4645,4.441
5.4945,4.452
5.5249,4.465
5.5556,4.478
5.5866,4.490
5.6180,4.501
5.6497,4.512
5.6818,4.529
5.7143,4.536
5.7471,4.549
5.7803,4.565
5.8140,4.575
5.8480,4.585
5.8824,4.597
5.9172,4.608
5.9524,4.620
5.9880,4.634
6.0241,4.646
6.0606,4.657
6.0976,4.669
6.1350,4.679
6.1728,4.688
6.2112,4.691
6.2500,4.693
6.2893,4.713
6.3291,4.764
6.3694,4.777
6.4103,4.780
6.4516,4.780
6.4935,4.797
6.5359,4.812
6.5789,4.822
6.6225,4.831
6.6667,4.838
6.7114,4.850
6.7568,4.863
6.8027,4.873
6.8493,4.882
6.8966,4.889
6.9444,4.899
6.9930,4.911
7.0423,4.922
7.0922,4.934
7.1429,4.948
7.1942,4.955
7.2464,4.964
7.2993,4.978
7.3529,4.983
7.4074,4.998
