"","p","Zc","T","Z"
"96",0.01,0.316,1.9,1
"97",0.1,0.244,0.5,0.016
"98",0.1,0.244,0.6,0.014
"99",0.1,0.244,0.7,0.013
"100",0.1,0.244,0.8,0.908
"101",0.1,0.244,0.9,0.943
"102",0.1,0.244,0.92,0.948
"103",0.1,0.244,0.94,0.952
"104",0.1,0.244,0.96,0.956
"105",0.1,0.244,0.98,0.959
"106",0.1,0.244,1,0.962
"107",0.1,0.244,1.01,0.963
"108",0.1,0.244,1.02,0.965
"109",0.1,0.244,1.03,0.966
"110",0.1,0.244,1.04,0.967
"111",0.1,0.244,1.05,0.968
"112",0.1,0.244,1.06,0.97
"113",0.1,0.244,1.07,0.971
"114",0.1,0.244,1.08,0.972
"115",0.1,0.244,1.09,0.973
"116",0.1,0.244,1.1,0.973
"117",0.1,0.244,1.12,0.975
"118",0.1,0.244,1.14,0.977
"119",0.1,0.244,1.16,0.978
"120",0.1,0.244,1.18,0.98
"121",0.1,0.244,1.2,0.981
"122",0.1,0.244,1.3,0.986
"123",0.1,0.244,1.4,0.989
"124",0.1,0.244,1.5,0.991
"125",0.1,0.244,1.6,0.993
"126",0.1,0.244,1.7,0.994
"127",0.1,0.244,1.8,0.994
"137",0.1,0.278,0.98,0.963
"138",0.1,0.278,1,0.965
"139",0.1,0.278,1.01,0.966
"140",0.1,0.278,1.02,0.967
"141",0.1,0.278,1.03,0.968
"142",0.1,0.278,1.04,0.969
"143",0.1,0.278,1.05,0.97
"144",0.1,0.278,1.06,0.971
"145",0.1,0.278,1.07,0.972
"146",0.1,0.278,1.08,0.973
"147",0.1,0.278,1.09,0.974
"148",0.1,0.278,1.1,0.975
"149",0.1,0.278,1.12,0.976
"150",0.1,0.278,1.14,0.977
"151",0.1,0.278,1.16,0.979
"152",0.1,0.278,1.18,0.98
"153",0.1,0.278,1.2,0.981
"154",0.1,0.278,1.3,0.985
"155",0.1,0.278,1.4,0.989
"156",0.1,0.278,1.5,0.991
"164",0.1,0.316,0.8,0.926
"165",0.1,0.316,0.9,0.95
"166",0.1,0.316,0.92,0.953
"167",0.1,0.316,0.94,0.956
"168",0.1,0.316,0.96,0.959
"169",0.1,0.316,0.98,0.962
"170",0.1,0.316,1,0.964
"171",0.1,0.316,1.01,0.966
"172",0.1,0.316,1.02,0.967
"173",0.1,0.316,1.03,0.968
"174",0.1,0.316,1.04,0.969
"175",0.1,0.316,1.05,0.97
"176",0.1,0.316,1.06,0.971
"177",0.1,0.316,1.07,0.971
"178",0.1,0.316,1.08,0.972
"179",0.1,0.316,1.09,0.973
"180",0.1,0.316,1.1,0.974
"181",0.1,0.316,1.12,0.975
"182",0.1,0.316,1.14,0.977
"183",0.1,0.316,1.16,0.978
"184",0.1,0.316,1.18,0.979
"185",0.1,0.316,1.2,0.98
"186",0.1,0.316,1.3,0.985
"187",0.1,0.316,1.4,0.989
"188",0.1,0.316,1.5,0.991
"189",0.1,0.316,1.6,0.993
"190",0.1,0.316,1.7,0.995
"191",0.1,0.316,1.8,0.996
"192",0.1,0.316,1.9,0.997
"193",0.2,0.244,0.5,0.032
"194",0.2,0.244,0.6,0.028
"195",0.2,0.244,0.7,0.026
"197",0.2,0.244,0.9,0.881
"198",0.2,0.244,0.92,0.891
"199",0.2,0.244,0.94,0.901
"200",0.2,0.244,0.96,0.909
"201",0.2,0.244,0.98,0.916
"202",0.2,0.244,1,0.922
"203",0.2,0.244,1.01,0.925
"204",0.2,0.244,1.02,0.928
"205",0.2,0.244,1.03,0.931
"206",0.2,0.244,1.04,0.933
"207",0.2,0.244,1.05,0.936
"208",0.2,0.244,1.06,0.938
"209",0.2,0.244,1.07,0.94
"210",0.2,0.244,1.08,0.942
"211",0.2,0.244,1.09,0.944
"212",0.2,0.244,1.1,0.946
"213",0.2,0.244,1.12,0.95
"214",0.2,0.244,1.14,0.953
"215",0.2,0.244,1.16,0.956
"216",0.2,0.244,1.18,0.959
"217",0.2,0.244,1.2,0.962
"218",0.2,0.244,1.3,0.972
"219",0.2,0.244,1.4,0.979
"220",0.2,0.244,1.5,0.983
"221",0.2,0.244,1.6,0.986
"222",0.2,0.244,1.7,0.988
"223",0.2,0.244,1.8,0.989
"233",0.2,0.278,0.98,0.924
"234",0.2,0.278,1,0.929
"235",0.2,0.278,1.01,0.931
"236",0.2,0.278,1.02,0.933
"237",0.2,0.278,1.03,0.935
"238",0.2,0.278,1.04,0.937
"239",0.2,0.278,1.05,0.939
"240",0.2,0.278,1.06,0.941
"241",0.2,0.278,1.07,0.943
"242",0.2,0.278,1.08,0.945
"243",0.2,0.278,1.09,0.947
"244",0.2,0.278,1.1,0.948
"245",0.2,0.278,1.12,0.951
"246",0.2,0.278,1.14,0.954
"247",0.2,0.278,1.16,0.957
"248",0.2,0.278,1.18,0.959
"249",0.2,0.278,1.2,0.961
"250",0.2,0.278,1.3,0.971
"251",0.2,0.278,1.4,0.977
"252",0.2,0.278,1.5,0.983
"260",0.2,0.316,0.8,0.844
"261",0.2,0.316,0.9,0.897
"262",0.2,0.316,0.92,0.904
"263",0.2,0.316,0.94,0.911
"264",0.2,0.316,0.96,0.917
"265",0.2,0.316,0.98,0.923
"266",0.2,0.316,1,0.928
"267",0.2,0.316,1.01,0.93
"268",0.2,0.316,1.02,0.932
"269",0.2,0.316,1.03,0.934
"270",0.2,0.316,1.04,0.936
"271",0.2,0.316,1.05,0.938
"272",0.2,0.316,1.06,0.94
"273",0.2,0.316,1.07,0.942
"274",0.2,0.316,1.08,0.944
"275",0.2,0.316,1.09,0.946
"276",0.2,0.316,1.1,0.947
"277",0.2,0.316,1.12,0.95
"278",0.2,0.316,1.14,0.953
"279",0.2,0.316,1.16,0.956
"280",0.2,0.316,1.18,0.958
"281",0.2,0.316,1.2,0.961
"282",0.2,0.316,1.3,0.97
"283",0.2,0.316,1.4,0.977
"284",0.2,0.316,1.5,0.982
"285",0.2,0.316,1.6,0.986
"286",0.2,0.316,1.7,0.989
"287",0.2,0.316,1.8,0.991
"288",0.2,0.316,1.9,0.993
"289",0.3,0.244,0.5,0.047
"291",0.3,0.244,0.7,0.039
"292",0.3,0.244,0.8,0.038
"293",0.3,0.244,0.9,0.81
"295",0.3,0.244,0.94,0.844
"297",0.3,0.244,0.98,0.869
"299",0.3,0.244,1.01,0.885
"301",0.3,0.244,1.03,0.894
"303",0.3,0.244,1.05,0.902
"304",0.3,0.244,1.06,0.905
"305",0.3,0.244,1.07,0.909
"306",0.3,0.244,1.08,0.912
"307",0.3,0.244,1.09,0.915
"308",0.3,0.244,1.1,0.918
"309",0.3,0.244,1.12,0.924
"310",0.3,0.244,1.14,0.929
"311",0.3,0.244,1.16,0.934
"312",0.3,0.244,1.18,0.938
"313",0.3,0.244,1.2,0.942
"314",0.3,0.244,1.3,0.958
"315",0.3,0.244,1.4,0.968
"316",0.3,0.244,1.5,0.975
"317",0.3,0.244,1.6,0.98
"318",0.3,0.244,1.7,0.982
"319",0.3,0.244,1.8,0.984
"324",0.3,0.278,0.8,0.048
"329",0.3,0.278,0.98,0.882
"330",0.3,0.278,1,0.89
"331",0.3,0.278,1.01,0.894
"332",0.3,0.278,1.02,0.897
"333",0.3,0.278,1.03,0.901
"334",0.3,0.278,1.04,0.904
"335",0.3,0.278,1.05,0.907
"336",0.3,0.278,1.06,0.91
"337",0.3,0.278,1.07,0.913
"338",0.3,0.278,1.08,0.916
"339",0.3,0.278,1.09,0.919
"340",0.3,0.278,1.1,0.921
"341",0.3,0.278,1.12,0.926
"342",0.3,0.278,1.14,0.93
"343",0.3,0.278,1.16,0.934
"344",0.3,0.278,1.18,0.938
"345",0.3,0.278,1.2,0.942
"346",0.3,0.278,1.3,0.956
"347",0.3,0.278,1.4,0.966
"348",0.3,0.278,1.5,0.974
"357",0.3,0.316,0.9,0.84
"358",0.3,0.316,0.92,0.852
"359",0.3,0.316,0.94,0.863
"360",0.3,0.316,0.96,0.873
"361",0.3,0.316,0.98,0.882
"362",0.3,0.316,1,0.889
"363",0.3,0.316,1.01,0.893
"364",0.3,0.316,1.02,0.897
"365",0.3,0.316,1.03,0.9
"366",0.3,0.316,1.04,0.903
"367",0.3,0.316,1.05,0.906
"368",0.3,0.316,1.06,0.909
"369",0.3,0.316,1.07,0.912
"370",0.3,0.316,1.08,0.915
"371",0.3,0.316,1.09,0.917
"372",0.3,0.316,1.1,0.92
"373",0.3,0.316,1.12,0.925
"374",0.3,0.316,1.14,0.929
"375",0.3,0.316,1.16,0.933
"376",0.3,0.316,1.18,0.937
"377",0.3,0.316,1.2,0.941
"378",0.3,0.316,1.3,0.955
"379",0.3,0.316,1.4,0.965
"380",0.3,0.316,1.5,0.973
"381",0.3,0.316,1.6,0.979
"382",0.3,0.316,1.7,0.984
"383",0.3,0.316,1.8,0.987
"384",0.3,0.316,1.9,0.99
"385",0.4,0.244,0.5,0.063
"386",0.4,0.244,0.6,0.056
"387",0.4,0.244,0.7,0.052
"388",0.4,0.244,0.8,0.051
"389",0.4,0.244,0.9,0.726
"390",0.4,0.244,0.92,0.756
"391",0.4,0.244,0.94,0.781
"392",0.4,0.244,0.96,0.802
"393",0.4,0.244,0.98,0.819
"394",0.4,0.244,1,0.835
"395",0.4,0.244,1.01,0.842
"396",0.4,0.244,1.02,0.848
"397",0.4,0.244,1.03,0.855
"398",0.4,0.244,1.04,0.86
"399",0.4,0.244,1.05,0.866
"400",0.4,0.244,1.06,0.871
"401",0.4,0.244,1.07,0.876
"402",0.4,0.244,1.08,0.881
"403",0.4,0.244,1.09,0.885
"404",0.4,0.244,1.1,0.889
"405",0.4,0.244,1.12,0.897
"406",0.4,0.244,1.14,0.904
"407",0.4,0.244,1.16,0.911
"408",0.4,0.244,1.18,0.917
"409",0.4,0.244,1.2,0.922
"410",0.4,0.244,1.3,0.943
"411",0.4,0.244,1.4,0.958
"412",0.4,0.244,1.5,0.967
"413",0.4,0.244,1.6,0.974
"414",0.4,0.244,1.7,0.978
"415",0.4,0.244,1.8,0.98
"420",0.4,0.278,0.8,0.063
"425",0.4,0.278,0.98,0.837
"426",0.4,0.278,1,0.848
"427",0.4,0.278,1.01,0.854
"428",0.4,0.278,1.02,0.859
"429",0.4,0.278,1.03,0.864
"430",0.4,0.278,1.04,0.869
"431",0.4,0.278,1.05,0.873
"432",0.4,0.278,1.06,0.878
"433",0.4,0.278,1.07,0.882
"434",0.4,0.278,1.08,0.886
"435",0.4,0.278,1.09,0.889
"436",0.4,0.278,1.1,0.893
"437",0.4,0.278,1.12,0.9
"438",0.4,0.278,1.14,0.906
"439",0.4,0.278,1.16,0.911
"440",0.4,0.278,1.18,0.917
"441",0.4,0.278,1.2,0.921
"442",0.4,0.278,1.3,0.941
"443",0.4,0.278,1.4,0.954
"444",0.4,0.278,1.5,0.965
"454",0.4,0.316,0.92,0.794
"455",0.4,0.316,0.94,0.81
"456",0.4,0.316,0.96,0.825
"457",0.4,0.316,0.98,0.838
"458",0.4,0.316,1,0.849
"459",0.4,0.316,1.01,0.854
"460",0.4,0.316,1.02,0.859
"461",0.4,0.316,1.03,0.864
"462",0.4,0.316,1.04,0.868
"463",0.4,0.316,1.05,0.873
"464",0.4,0.316,1.06,0.877
"465",0.4,0.316,1.07,0.881
"466",0.4,0.316,1.08,0.885
"467",0.4,0.316,1.09,0.889
"468",0.4,0.316,1.1,0.892
"469",0.4,0.316,1.12,0.898
"470",0.4,0.316,1.14,0.905
"471",0.4,0.316,1.16,0.91
"472",0.4,0.316,1.18,0.915
"473",0.4,0.316,1.2,0.92
"474",0.4,0.316,1.3,0.94
"475",0.4,0.316,1.4,0.954
"476",0.4,0.316,1.5,0.964
"477",0.4,0.316,1.6,0.972
"478",0.4,0.316,1.7,0.978
"479",0.4,0.316,1.8,0.983
"480",0.4,0.316,1.9,0.987
"481",0.5,0.244,0.5,0.079
"482",0.5,0.244,0.6,0.07
"483",0.5,0.244,0.7,0.065
"484",0.5,0.244,0.8,0.063
"485",0.5,0.244,0.9,0.066
"486",0.5,0.244,0.92,0.667
"487",0.5,0.244,0.94,0.707
"488",0.5,0.244,0.96,0.739
"489",0.5,0.244,0.98,0.764
"490",0.5,0.244,1,0.786
"491",0.5,0.244,1.01,0.796
"492",0.5,0.244,1.02,0.805
"493",0.5,0.244,1.03,0.819
"494",0.5,0.244,1.04,0.821
"495",0.5,0.244,1.05,0.828
"496",0.5,0.244,1.06,0.835
"497",0.5,0.244,1.07,0.842
"498",0.5,0.244,1.08,0.848
"499",0.5,0.244,1.09,0.854
"500",0.5,0.244,1.1,0.859
"501",0.5,0.244,1.12,0.869
"502",0.5,0.244,1.14,0.879
"503",0.5,0.244,1.16,0.887
"504",0.5,0.244,1.18,0.895
"505",0.5,0.244,1.2,0.902
"506",0.5,0.244,1.3,0.929
"507",0.5,0.244,1.4,0.947
"508",0.5,0.244,1.5,0.96
"509",0.5,0.244,1.6,0.968
"510",0.5,0.244,1.7,0.973
"511",0.5,0.244,1.8,0.976
"516",0.5,0.278,0.8,0.078
"521",0.5,0.278,0.98,0.787
"522",0.5,0.278,1,0.804
"523",0.5,0.278,1.01,0.811
"524",0.5,0.278,1.02,0.818
"525",0.5,0.278,1.03,0.825
"526",0.5,0.278,1.04,0.832
"527",0.5,0.278,1.05,0.838
"528",0.5,0.278,1.06,0.843
"529",0.5,0.278,1.07,0.849
"530",0.5,0.278,1.08,0.854
"531",0.5,0.278,1.09,0.859
"532",0.5,0.278,1.1,0.864
"533",0.5,0.278,1.12,0.872
"534",0.5,0.278,1.14,0.88
"535",0.5,0.278,1.16,0.888
"536",0.5,0.278,1.18,0.895
"537",0.5,0.278,1.2,0.901
"538",0.5,0.278,1.3,0.925
"539",0.5,0.278,1.4,0.943
"540",0.5,0.278,1.5,0.956
"550",0.5,0.316,0.92,0.726
"551",0.5,0.316,0.94,0.751
"552",0.5,0.316,0.96,0.771
"553",0.5,0.316,0.98,0.79
"554",0.5,0.316,1,0.805
"555",0.5,0.316,1.01,0.813
"556",0.5,0.316,1.02,0.82
"557",0.5,0.316,1.03,0.826
"558",0.5,0.316,1.04,0.832
"559",0.5,0.316,1.05,0.838
"560",0.5,0.316,1.06,0.844
"561",0.5,0.316,1.07,0.849
"562",0.5,0.316,1.08,0.854
"563",0.5,0.316,1.09,0.859
"564",0.5,0.316,1.1,0.863
"565",0.5,0.316,1.12,0.872
"566",0.5,0.316,1.14,0.879
"567",0.5,0.316,1.16,0.887
"568",0.5,0.316,1.18,0.893
"569",0.5,0.316,1.2,0.899
"570",0.5,0.316,1.3,0.924
"571",0.5,0.316,1.4,0.942
"572",0.5,0.316,1.5,0.955
"573",0.5,0.316,1.6,0.965
"574",0.5,0.316,1.7,0.973
"575",0.5,0.316,1.8,0.979
"576",0.5,0.316,1.9,0.984
"577",0.6,0.244,0.5,0.094
"578",0.6,0.244,0.6,0.084
"579",0.6,0.244,0.7,0.078
"580",0.6,0.244,0.8,0.076
"581",0.6,0.244,0.9,0.079
"582",0.6,0.244,0.92,0.081
"583",0.6,0.244,0.94,0.615
"584",0.6,0.244,0.96,0.665
"585",0.6,0.244,0.98,0.702
"586",0.6,0.244,1,0.732
"587",0.6,0.244,1.01,0.746
"588",0.6,0.244,1.02,0.757
"589",0.6,0.244,1.03,0.769
"590",0.6,0.244,1.04,0.779
"591",0.6,0.244,1.05,0.788
"592",0.6,0.244,1.06,0.798
"593",0.6,0.244,1.07,0.806
"594",0.6,0.244,1.08,0.814
"595",0.6,0.244,1.09,0.82
"596",0.6,0.244,1.1,0.828
"597",0.6,0.244,1.12,0.841
"598",0.6,0.244,1.14,0.852
"599",0.6,0.244,1.16,0.863
"600",0.6,0.244,1.18,0.872
"601",0.6,0.244,1.2,0.881
"602",0.6,0.244,1.3,0.915
"603",0.6,0.244,1.4,0.937
"604",0.6,0.244,1.5,0.952
"605",0.6,0.244,1.6,0.962
"606",0.6,0.244,1.7,0.969
"607",0.6,0.244,1.8,0.973
"612",0.6,0.278,0.8,0.095
"613",0.6,0.278,0.9,0.098
"617",0.6,0.278,0.98,0.731
"618",0.6,0.278,1,0.754
"619",0.6,0.278,1.01,0.764
"620",0.6,0.278,1.02,0.774
"621",0.6,0.278,1.03,0.783
"622",0.6,0.278,1.04,0.792
"623",0.6,0.278,1.05,0.799
"624",0.6,0.278,1.06,0.807
"625",0.6,0.278,1.07,0.814
"626",0.6,0.278,1.08,0.821
"627",0.6,0.278,1.09,0.827
"628",0.6,0.278,1.1,0.833
"629",0.6,0.278,1.12,0.844
"630",0.6,0.278,1.14,0.854
"631",0.6,0.278,1.16,0.864
"632",0.6,0.278,1.18,0.872
"633",0.6,0.278,1.2,0.88
"634",0.6,0.278,1.3,0.91
"635",0.6,0.278,1.4,0.932
"636",0.6,0.278,1.5,0.948
"648",0.6,0.316,0.96,0.709
"649",0.6,0.316,0.98,0.736
"650",0.6,0.316,1,0.757
"651",0.6,0.316,1.01,0.767
"652",0.6,0.316,1.02,0.777
"653",0.6,0.316,1.03,0.785
"654",0.6,0.316,1.04,0.793
"655",0.6,0.316,1.05,0.801
"656",0.6,0.316,1.06,0.808
"657",0.6,0.316,1.07,0.814
"658",0.6,0.316,1.08,0.821
"659",0.6,0.316,1.09,0.827
"660",0.6,0.316,1.1,0.833
"661",0.6,0.316,1.12,0.844
"662",0.6,0.316,1.14,0.853
"663",0.6,0.316,1.16,0.862
"664",0.6,0.316,1.18,0.871
"665",0.6,0.316,1.2,0.878
"666",0.6,0.316,1.3,0.909
"667",0.6,0.316,1.4,0.931
"668",0.6,0.316,1.5,0.947
"669",0.6,0.316,1.6,0.958
"670",0.6,0.316,1.7,0.968
"671",0.6,0.316,1.8,0.975
"672",0.6,0.316,1.9,0.981
"673",0.7,0.244,0.5,0.11
"674",0.7,0.244,0.6,0.098
"675",0.7,0.244,0.7,0.091
"676",0.7,0.244,0.8,0.088
"677",0.7,0.244,0.9,0.091
"678",0.7,0.244,0.92,0.094
"679",0.7,0.244,0.94,0.098
"680",0.7,0.244,0.96,0.57
"681",0.7,0.244,0.98,0.628
"682",0.7,0.244,1,0.671
"683",0.7,0.244,1.01,0.69
"684",0.7,0.244,1.02,0.706
"685",0.7,0.244,1.03,0.72
"686",0.7,0.244,1.04,0.734
"687",0.7,0.244,1.05,0.746
"688",0.7,0.244,1.06,0.758
"689",0.7,0.244,1.07,0.768
"690",0.7,0.244,1.08,0.778
"691",0.7,0.244,1.09,0.787
"692",0.7,0.244,1.1,0.796
"693",0.7,0.244,1.12,0.811
"694",0.7,0.244,1.14,0.825
"695",0.7,0.244,1.16,0.838
"696",0.7,0.244,1.18,0.85
"697",0.7,0.244,1.2,0.86
"698",0.7,0.244,1.3,0.9
"699",0.7,0.244,1.4,0.926
"700",0.7,0.244,1.5,0.945
"701",0.7,0.244,1.6,0.957
"702",0.7,0.244,1.7,0.965
"703",0.7,0.244,1.8,0.97
"708",0.7,0.278,0.8,0.11
"709",0.7,0.278,0.9,0.113
"710",0.7,0.278,0.92,0.116
"714",0.7,0.278,1,0.698
"715",0.7,0.278,1.01,0.712
"716",0.7,0.278,1.02,0.726
"717",0.7,0.278,1.03,0.737
"718",0.7,0.278,1.04,0.748
"719",0.7,0.278,1.05,0.759
"720",0.7,0.278,1.06,0.768
"721",0.7,0.278,1.07,0.777
"722",0.7,0.278,1.08,0.786
"723",0.7,0.278,1.09,0.794
"724",0.7,0.278,1.1,0.801
"725",0.7,0.278,1.12,0.815
"726",0.7,0.278,1.14,0.827
"727",0.7,0.278,1.16,0.839
"728",0.7,0.278,1.18,0.849
"729",0.7,0.278,1.2,0.858
"730",0.7,0.278,1.3,0.895
"731",0.7,0.278,1.4,0.92
"732",0.7,0.278,1.5,0.939
"746",0.7,0.316,1,0.702
"747",0.7,0.316,1.01,0.716
"748",0.7,0.316,1.02,0.727
"749",0.7,0.316,1.03,0.74
"750",0.7,0.316,1.04,0.75
"751",0.7,0.316,1.05,0.76
"752",0.7,0.316,1.06,0.77
"753",0.7,0.316,1.07,0.778
"754",0.7,0.316,1.08,0.786
"755",0.7,0.316,1.09,0.794
"756",0.7,0.316,1.1,0.801
"757",0.7,0.316,1.12,0.814
"758",0.7,0.316,1.14,0.827
"759",0.7,0.316,1.16,0.838
"760",0.7,0.316,1.18,0.848
"761",0.7,0.316,1.2,0.856
"762",0.7,0.316,1.3,0.893
"763",0.7,0.316,1.4,0.919
"764",0.7,0.316,1.5,0.938
"765",0.7,0.316,1.6,0.952
"766",0.7,0.316,1.7,0.963
"767",0.7,0.316,1.8,0.971
"768",0.7,0.316,1.9,0.978
"769",0.8,0.244,0.5,0.126
"770",0.8,0.244,0.6,0.112
"771",0.8,0.244,0.7,0.104
"772",0.8,0.244,0.8,0.1
"773",0.8,0.244,0.9,0.104
"774",0.8,0.244,0.92,0.106
"775",0.8,0.244,0.94,0.11
"776",0.8,0.244,0.96,0.117
"777",0.8,0.244,0.98,0.529
"778",0.8,0.244,1,0.598
"779",0.8,0.244,1.01,0.626
"780",0.8,0.244,1.02,0.647
"781",0.8,0.244,1.03,0.667
"782",0.8,0.244,1.04,0.686
"783",0.8,0.244,1.05,0.7
"784",0.8,0.244,1.06,0.715
"785",0.8,0.244,1.07,0.728
"786",0.8,0.244,1.08,0.74
"787",0.8,0.244,1.09,0.751
"788",0.8,0.244,1.1,0.762
"789",0.8,0.244,1.12,0.781
"790",0.8,0.244,1.14,0.798
"791",0.8,0.244,1.16,0.813
"792",0.8,0.244,1.18,0.826
"793",0.8,0.244,1.2,0.839
"794",0.8,0.244,1.3,0.885
"795",0.8,0.244,1.4,0.917
"796",0.8,0.244,1.5,0.937
"797",0.8,0.244,1.6,0.952
"798",0.8,0.244,1.7,0.961
"799",0.8,0.244,1.8,0.967
"804",0.8,0.278,0.8,0.125
"805",0.8,0.278,0.9,0.128
"806",0.8,0.278,0.92,0.131
"807",0.8,0.278,0.94,0.135
"808",0.8,0.278,0.96,0.37
"810",0.8,0.278,1,0.631
"811",0.8,0.278,1.01,0.652
"812",0.8,0.278,1.02,0.67
"813",0.8,0.278,1.03,0.686
"814",0.8,0.278,1.04,0.701
"815",0.8,0.278,1.05,0.714
"816",0.8,0.278,1.06,0.726
"817",0.8,0.278,1.07,0.738
"818",0.8,0.278,1.08,0.748
"819",0.8,0.278,1.09,0.758
"820",0.8,0.278,1.1,0.767
"821",0.8,0.278,1.12,0.784
"822",0.8,0.278,1.14,0.799
"823",0.8,0.278,1.16,0.813
"824",0.8,0.278,1.18,0.825
"825",0.8,0.278,1.2,0.836
"826",0.8,0.278,1.3,0.879
"827",0.8,0.278,1.4,0.909
"828",0.8,0.278,1.5,0.931
"842",0.8,0.316,1,0.634
"843",0.8,0.316,1.01,0.655
"844",0.8,0.316,1.02,0.674
"845",0.8,0.316,1.03,0.688
"846",0.8,0.316,1.04,0.702
"847",0.8,0.316,1.05,0.716
"848",0.8,0.316,1.06,0.729
"849",0.8,0.316,1.07,0.739
"850",0.8,0.316,1.08,0.749
"851",0.8,0.316,1.09,0.759
"852",0.8,0.316,1.1,0.768
"853",0.8,0.316,1.12,0.784
"854",0.8,0.316,1.14,0.799
"855",0.8,0.316,1.16,0.812
"856",0.8,0.316,1.18,0.824
"857",0.8,0.316,1.2,0.835
"858",0.8,0.316,1.3,0.878
"859",0.8,0.316,1.4,0.907
"860",0.8,0.316,1.5,0.929
"861",0.8,0.316,1.6,0.945
"862",0.8,0.316,1.7,0.958
"863",0.8,0.316,1.8,0.967
"864",0.8,0.316,1.9,0.975
"865",0.9,0.244,0.5,0.141
"866",0.9,0.244,0.6,0.126
"868",0.9,0.244,0.8,0.113
"869",0.9,0.244,0.9,0.116
"870",0.9,0.244,0.92,0.118
"871",0.9,0.244,0.94,0.122
"872",0.9,0.244,0.96,0.128
"873",0.9,0.244,0.98,0.141
"874",0.9,0.244,1,0.494
"875",0.9,0.244,1.01,0.546
"876",0.9,0.244,1.02,0.582
"877",0.9,0.244,1.03,0.605
"878",0.9,0.244,1.04,0.627
"879",0.9,0.244,1.05,0.649
"880",0.9,0.244,1.06,0.669
"881",0.9,0.244,1.07,0.684
"882",0.9,0.244,1.08,0.7
"883",0.9,0.244,1.09,0.713
"884",0.9,0.244,1.1,0.726
"885",0.9,0.244,1.12,0.749
"886",0.9,0.244,1.14,0.769
"887",0.9,0.244,1.16,0.787
"888",0.9,0.244,1.18,0.803
"889",0.9,0.244,1.2,0.817
"890",0.9,0.244,1.3,0.871
"891",0.9,0.244,1.4,0.906
"892",0.9,0.244,1.5,0.93
"893",0.9,0.244,1.6,0.947
"894",0.9,0.244,1.7,0.957
"895",0.9,0.244,1.8,0.964
"900",0.9,0.278,0.8,0.141
"901",0.9,0.278,0.9,0.143
"902",0.9,0.278,0.92,0.146
"903",0.9,0.278,0.94,0.15
