"","p","Zc","T","Z"
"1",0.01,0.244,0.5,0.002
"2",0.01,0.244,0.6,0.971
"3",0.01,0.244,0.7,0.976
"4",0.01,0.244,0.8,0.992
"5",0.01,0.244,0.9,0.995
"6",0.01,0.244,0.92,0.995
"7",0.01,0.244,0.94,0.995
"8",0.01,0.244,0.96,0.995
"9",0.01,0.244,0.98,0.996
"10",0.01,0.244,1,0.996
"11",0.01,0.244,1.01,0.996
"12",0.01,0.244,1.02,0.997
"13",0.01,0.244,1.03,0.997
"14",0.01,0.244,1.04,0.997
"15",0.01,0.244,1.05,0.997
"16",0.01,0.244,1.06,0.997
"17",0.01,0.244,1.07,0.997
"18",0.01,0.244,1.08,0.997
"19",0.01,0.244,1.09,0.997
"20",0.01,0.244,1.1,0.997
"21",0.01,0.244,1.12,0.998
"22",0.01,0.244,1.14,0.998
"23",0.01,0.244,1.16,0.998
"24",0.01,0.244,1.18,0.998
"25",0.01,0.244,1.2,0.998
"26",0.01,0.244,1.3,0.999
"27",0.01,0.244,1.4,0.999
"28",0.01,0.244,1.5,0.999
"29",0.01,0.244,1.6,0.999
"30",0.01,0.244,1.7,0.999
"31",0.01,0.244,1.8,0.999
"41",0.01,0.278,0.98,0.996
"42",0.01,0.278,1,0.997
"43",0.01,0.278,1.01,0.997
"44",0.01,0.278,1.02,0.997
"45",0.01,0.278,1.03,0.997
"46",0.01,0.278,1.04,0.997
"47",0.01,0.278,1.05,0.997
"48",0.01,0.278,1.06,0.997
"49",0.01,0.278,1.07,0.997
"50",0.01,0.278,1.08,0.997
"51",0.01,0.278,1.09,0.997
"52",0.01,0.278,1.1,0.997
"53",0.01,0.278,1.12,0.998
"54",0.01,0.278,1.14,0.998
"55",0.01,0.278,1.16,0.998
"56",0.01,0.278,1.18,0.998
"57",0.01,0.278,1.2,0.998
"58",0.01,0.278,1.3,0.999
"59",0.01,0.278,1.4,0.999
"60",0.01,0.278,1.5,0.999
"67",0.01,0.316,0.7,0.989
"68",0.01,0.316,0.8,0.993
"69",0.01,0.316,0.9,0.995
"70",0.01,0.316,0.92,0.995
"71",0.01,0.316,0.94,0.996
"72",0.01,0.316,0.96,0.996
"73",0.01,0.316,0.98,0.996
"74",0.01,0.316,1,0.996
"75",0.01,0.316,1.01,0.997
"76",0.01,0.316,1.02,0.997
"77",0.01,0.316,1.03,0.997
"78",0.01,0.316,1.04,0.997
"79",0.01,0.316,1.05,0.997
"80",0.01,0.316,1.06,0.997
"81",0.01,0.316,1.07,0.997
"82",0.01,0.316,1.08,0.997
"83",0.01,0.316,1.09,0.997
"84",0.01,0.316,1.1,0.997
"85",0.01,0.316,1.12,0.998
"86",0.01,0.316,1.14,0.998
"87",0.01,0.316,1.16,0.998
"88",0.01,0.316,1.18,0.998
"89",0.01,0.316,1.2,0.998
"90",0.01,0.316,1.3,0.999
"91",0.01,0.316,1.4,0.999
"92",0.01,0.316,1.5,0.999
"93",0.01,0.316,1.6,0.999
"94",0.01,0.316,1.7,0.999
"95",0.01,0.316,1.8,1
